iter	Logloss
0	0.6200191048
1	0.5879772683
2	0.5444075679
3	0.5273425925
4	0.4931009886
5	0.4799956108
6	0.4627571465
7	0.4512153483
8	0.4411022949
9	0.4362211407
10	0.429594439
11	0.4287149945
12	0.4252508068
13	0.4227427085
14	0.4208172292
15	0.4188529879
16	0.4129628828
17	0.4079513239
18	0.4071963898
19	0.40300825
20	0.4029891885
21	0.4023774014
22	0.3992016644
23	0.3966295793
24	0.3947872036
25	0.3938486721
26	0.3916348499
27	0.3897340099
28	0.3897335604
29	0.3884454765
30	0.3884125006
31	0.3878797307
32	0.3867244742
33	0.3844551211
34	0.3836664216
35	0.3820726512
36	0.3820718817
37	0.3817938388
38	0.3809149873
39	0.380804998
40	0.3806603711
41	0.3804379668
42	0.3789277271
43	0.377285874
44	0.3759629874
45	0.375819104
46	0.3758150613
47	0.3755276347
48	0.3754152083
49	0.3754068421
50	0.3752166548
51	0.3752166502
52	0.3748678475
53	0.3748024148
54	0.3744810693
55	0.3732685171
56	0.3718679776
57	0.3718195514
58	0.3717054851
59	0.3714631668
60	0.3709473985
61	0.3708886187
62	0.3705066159
63	0.3700791744
64	0.3699768882
65	0.3696663839
66	0.3684183845
67	0.3676675743
68	0.3666703136
69	0.3662218275
70	0.3661954436
71	0.3661954422
72	0.3660358879
73	0.3660336394
74	0.3658148615
75	0.3658127442
76	0.3652999947
77	0.3648269781
78	0.3648269739
79	0.3647693063
80	0.3645979515
81	0.3645961226
82	0.3637805799
83	0.3636569209
84	0.363617217
85	0.3636172166
86	0.3636019061
87	0.3633436088
88	0.3631946845
89	0.3630206037
90	0.3618912455
91	0.3616539878
92	0.3615495368
93	0.3614201228
94	0.3609575117
95	0.3609492002
96	0.3602928077
97	0.3595336151
98	0.3578265771
99	0.3578252864
