iter	Passed	Remaining
0	106	10501
1	119	5870
2	137	4460
3	151	3640
4	175	3336
5	195	3058
6	212	2825
7	232	2675
8	251	2546
9	270	2436
10	287	2326
11	307	2251
12	326	2185
13	342	2104
14	362	2052
15	386	2027
16	415	2028
17	476	2171
18	511	2180
19	565	2261
20	584	2198
21	633	2246
22	657	2201
23	679	2150
24	698	2094
25	713	2030
26	734	1985
27	754	1940
28	762	1866
29	782	1826
30	795	1769
31	811	1724
32	829	1683
33	850	1650
34	868	1612
35	888	1579
36	896	1527
37	913	1490
38	939	1468
39	958	1437
40	977	1406
41	989	1365
42	1008	1337
43	1027	1307
44	1048	1280
45	1061	1245
46	1074	1211
47	1092	1183
48	1105	1150
49	1121	1121
50	1146	1101
51	1162	1072
52	1181	1047
53	1198	1021
54	1220	998
55	1240	974
56	1258	949
57	1270	919
58	1290	896
59	1341	894
60	1364	872
61	1382	847
62	1401	823
63	1420	798
64	1439	775
65	1461	753
66	1480	729
67	1498	705
68	1519	682
69	1539	659
70	1559	636
71	1568	610
72	1586	586
73	1596	560
74	1615	538
75	1634	516
76	1653	493
77	1671	471
78	1680	446
79	1697	424
80	1716	402
81	1727	379
82	1748	358
83	1779	338
84	1830	323
85	1863	303
86	1904	284
87	1923	262
88	1943	240
89	1961	217
90	1992	197
91	2040	177
92	2058	154
93	2076	132
94	2095	110
95	2114	88
96	2135	66
97	2155	43
98	2178	22
99	2190	0
